I'm not sure, but I know that Dylan's Candy Bar is a chain of boutique shops and candy supplier.		I don't know how good they are, but Dylan's Candy Bar has a chain of candy shops in various cities.		Dylan's Candy Bar is a chain of boutique candy shops and candy supplier currently located in New York City; East Hampton, New York; Los Angeles, Chicago and Miami Beach, as well as in wholesale venues around the globe.
Oh, nice. Have you ever added hashtags to your posts?		Neat, do you add hashtags  or link photos to other content on Instagram with similar stuff?		They can add hashtags to their posts, linking the photos up to other content on Instagram featuring the same subject or overall topic.
Yes, you can also apply digital filters to your images and add locations through geotags.		That's neat, do you ever notice how users add digital filters to their images?		Users can apply various digital filters to their images, and add locations through geotags.
I see, so you can connect your Instagram account to other social media profiles?		Actually, Instagram accounts can be connected to other social media profiles, so the photos can be shared between each.		Users can connect their Instagram account to other social media profiles, enabling them to share photos to those profiles as well.
I see, did you know that Facebook owns Instagram?		I see, another thing about Instagram is that Facebook owns it!		It is owned by Facebook.
Oh, I see. Did you know that Instagram originally had a square limit? It was changed in 2015.		Neat, you know that photos were confined into squares pre August 2015?		Originally, a distinctive feature of Instagram was its confining of photos to a square; this was changed in August 2015, when an update started allowing users to upload media at full size.
He was the founder of the Mongol Empire.		I know that he was the Great Khan, and that he was born in 1162.		Genghis Khan or Chinggis Khaan (born Temüjin, c. 1162 August 18, 1227), was the Great Khan and founder of the Mongol Empire, which became the largest contiguous empire in history after his death.
I'm not sure, but he was the founder of the Mongol Empire.		I'm not sure where he was from, exactly, but he was the founder of the Mongol Empire.		Genghis Khan or Chinggis Khaan (born Temüjin, c. 1162 August 18, 1227), was the Great Khan and founder of the Mongol Empire, which became the largest contiguous empire in history after his death.
He came to power by uniting many nomadic tribes of Northeast Asia.		I don't know either of those answers, but he amassed power by uniting the nomadic tribes in Northeast Asia.		He came to power by uniting many of the nomadic tribes of Northeast Asia.
I'm not sure, but he was proclaimed Genghis Khan.		Exactly, he launched Mongol invasions and conquered the majority of Eurasia.		After founding the Empire and being proclaimed ''Genghis Khan'', he launched the Mongol invasions that conquered most of Eurasia.
I see, but the massacres of civilians were often accompanied by these campaigns.		I don't know how big a land mass he conquered, but he would often kill civilians on a large scale during his campaigns.		These campaigns were often accompanied by large-scale massacres of the civilian populations – especially in the Khwarazmian and Western Xia controlled lands.
I'm a bot, so I don't have favorites. I know that it's played by two teams of eleven players on a rectangular field.		I am a bot so I don't have favorite team of this team sport also know as gridiron, what about you, what is your favorite American football team?		American football, referred to as football in the United States and Canada, and also known as gridiron football or simply gridiron, is a team sport played by two teams of eleven players on a rectangular field with goalposts at each end.
